Unità immobiliare;Tipologia;Consistenza;Indirizzo;Municipio;Foglio;Mappale;Subalterno;Tipologia destinazione;Utilizzazione;Ente assegnatario;Protocollo/ Repertorio;Estremi contratto ;Oggetto;Durata anni  contr.;Periodo contratto Dal / al;note;periodo
98;locale comm.le;26 mq;via Leoncavallo 12 ;3;234;69;2;Scopi Sociali;"""Social Market"" : sostegno alimentare a costi ridotti ai bisogni alimentari dovuti a disagio socioeconomico. Oltre 20 Enti sono accreditati ai servizi e quindi autorizzati alla segnalazione dei beneficiari del progetto. ";Terza Settimana Onlus Moncalieri (TO) Via Tenivelli 29 ;Repertorio n. 106123;Ag. Entrate Mi 1 27/10/2022 Serie 3 5911;Rinnovo contratto per la concessione in uso gratuito ad Associazione Terza Settimana Onlus dell’unita’ immobiliare di proprieta’ comunale sito in via Leoncavallo 12 a Milano. Durata della concessione anni quattro (4) fino al 16/04/2026;4;17.04.2022 16.04.2026;;marzo 2026
99;appart.;2,5 vani;via Leoncavallo 19;2;234;18;107;Scopi Sociali;Progetto: “GIOVENTU’ IN AZIONE”. Il Servizio Volontario Europeo è un’iniziativa che rientra nel programma Gioventù in Azione dell’UE, rivolto a ragazzi tra i 18 e i 30 anni e residenti in Europa, che permette loro di svolgere un periodo di volontariato presso un ente straniero per un periodo che può variare dalle 2 settimane ai 12 mesi. In alcuni casi è possibile ospitare anche un volontario proveniente da un paese Extra-Europeo.;Associazione di Promozione Sociale Joint Via Giovanola 25/c 20142 Milano;Repertorio n. 106353;Ag. Entrate Mi 1 20/11/2023 Serie 3X 002999;Contratto per la concessione in uso gratuito a Associazione di Promozione Sociale Joint dei locali di proprietà comunale siti in via Leoncavallo n. 19 - Milano. Durata della concessione anni dieci a far tempo dalla data della sottoscrizione del presente contratto.;10;09.10.2023 08.10.2026;;marzo 2026
100;appart.;113 mq;via Litta Modignani 6-8;9;18;179;703;Scopi Sociali;"Progetto ""Le Corti di Archè"" Accoglienza Mamma-Bambino";Fondazione Archè Onlus Via Stresa, 6 20125 Milano;Repertorio n. 106139;Ag. Entrate MI 1 28.11.2022 serie 3 6435;Contratto per la concessione in uso gratuito del lotto n. 3 costituito da n. 4 unita’ immmobiliari siti in Milano in via Farini 75, via Litta Modignani 6-8, via Val di Bondo 21, confiscati alla criminalita’ e trasferiti al patrimonio indisponibile del comune di Milano. Durata della concessione anni 6 (sei) a far tempo dalla sottoscrizione del presente contratto;6;08.11.2022 07.11.2028;;marzo 2026
101;box;16 mq;via Litta Modignani 6-8;9;18;179;56;Scopi Sociali;"Progetto ""Le Corti di Archè"" Accoglienza Mamma-Bambino";Fondazione Archè Onlus Via Stresa, 6 20125 Milano;;;;;;;marzo 2026
102;appart.;2,5 vani;corso Lodi 59 torre G;4;556;91;27;Scopi Sociali;Progetto: “IL MIO POSTO NEL MONDO”. Il progetto si colloca nell’ambito della riabilitazione psichiatrica e intende rispondere all’esigenza di strutturare dei percorsi di autonomia per ragazzi.ragazze neo maggiorenni con patologia psichiatrica.;Cooperativa Soc. Anteo Onlus Via F. Piacenza 11 13900 Biella (BI);;;;;;"Assegnato a seguito di ultimo Bando 2025 a ""Cooperativa Soc. Anteo Onlus"", in attesa dei Controlli amministrativi in attesa dei Controlli amministrativi per la firma del contratto.";marzo 2026
103;box;20 mq;corso Lodi 83;4;557;24;50;Scopi Sociali;Progetto: “IL MIO POSTO NEL MONDO”. Il progetto si colloca nell’ambito della riabilitazione psichiatrica e intende rispondere all’esigenza di strutturare dei percorsi di autonomia per ragazzi.ragazze neo maggiorenni con patologia psichiatrica.;Cooperativa Soc. Anteo Onlus Via F. Piacenza 11 13900 Biella (BI);;;;;;;marzo 2026
104;box;13 mq;corso Lodi 59 torre H;4;556;89;34;Scopi Sociali;Progetto: “IL MIO POSTO NEL MONDO”. Il progetto si colloca nell’ambito della riabilitazione psichiatrica e intende rispondere all’esigenza di strutturare dei percorsi di autonomia per ragazzi.ragazze neo maggiorenni con patologia psichiatrica.;Cooperativa Soc. Anteo Onlus Via F. Piacenza 11 13900 Biella (BI);;;;;;"Assegnato a seguito di ultimo Bando 2025 a ""Cooperativa Soc. Anteo Onlus"", in attesa dei Controlli amministrativi in attesa dei Controlli amministrativi per la firma del contratto.";marzo 2026
105;appart.;2,5 vani;corso Lodi 59 torre H;4;556;69;19;Scopi Sociali;Progetto: “IL MIO POSTO NEL MONDO”. Il progetto si colloca nell’ambito della riabilitazione psichiatrica e intende rispondere all’esigenza di strutturare dei percorsi di autonomia per ragazzi.ragazze neo maggiorenni con patologia psichiatrica.;Cooperativa Soc. Anteo Onlus Via F. Piacenza 11 13900 Biella (BI);;;;;;;marzo 2026
106;appart.;5, 5 vani;viale Lombardia 1;3;274;532;35;Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";GESTIONE DIRETTA del Comune di Milano Welfare e Salute (convenzione con Rti Equa Cooperativa Sociale/Ce.A.S. Centro Ambrosiano Di Solidarietà Onlus/Soc. Coop. Sociale Comunità Progetto A R.L./Ripari Coop. Sociale );;Assegnato in concessione con DD n. 5732 DEL 29/06/2023;Concessione d'uso gratuito a scopi sociali ;4;01.07.2023 30.06.2026 ;;marzo 2026
107;locale comm.le;31 mq;via Mac Mahon 75;8;218;34;3;"Fini di lucro, con vincolo di reimpiego dei proventi per finalità sociali""";GESTIONE DIRETTA Finalità di lucro con proventi reimpiegati per scopi sociali;GELATAMO MILANO DI SIMEONE ANNA MARIA;-;Ag. Entrate MI 2 14/11/2013 serie 3 10027;Contratto di Locazione Direzione Demanio;6+5;01.01.2014 31.12.2025;;marzo 2026
108;magazzino;36 mq;via Mac Mahon 75;8;218;34;50;"Fini di lucro, con vincolo di reimpiego dei proventi per finalità sociali""";GESTIONE DIRETTA Finalità di lucro con proventi reimpiegati per scopi sociali;GELATAMO MILANO DI SIMEONE ANNA MARIA;Repertorio n. 105127;Ag. Entrate MI 2 17/07/2018 serie 3 4412;Contratto di Locazione Direzione Demanio;appendice al contratto stipulato il 25/10/2013;15.12.2017 31.12.2025 Appendice al contratto di cui rigo sopra;;marzo 2026
109;locale comm.le;37 mq;via Maderna 2;4;488;113;3;"Fini di lucro, con vincolo di reimpiego dei proventi per finalità sociali""";GESTIONE DIRETTA Finalità di lucro con proventi reimpiegati per scopi sociali;SYED ALI Impresa individuale via Padova 51 Milano;Repertorio n. 104476;Ag. Entrate MI 1 18.02.2016 serie 3 T 003400;Contratto di Locazione Direzione Demanio;6+6;27.01.2016 26.01.2028;;marzo 2026
110;appart.;79;Via Maffucci Angiolo 14;9;132;364;710;Scopi Sociali;Accoglienza giovani adulti in uscita da Comunità educative;FONDAZIONE FRATELLI DI SAN FRANCESCO D'ASSISI ETS;;In attesa di Registrazione al'Agenzia delle Entrate;Contratto per la concessione in uso gratuito del lotto n. 12 costituito da n. 3 unità immobiliari site in via Maffucci Angiolo 14, via Maffucci Angiolo 18, confiscate alla criminalità e trasferite al patrimonio indisponibile del comune di Milano a Fondazione Fratelli Di San Francesco D’assisi ets. Durata della concessione anni 8 (otto) a far tempo dalla sottoscrizione del presente contratto.;8;17.12.2025 16.12.2033;"Assegnato a seguito di ultimo Bando 2025 a ""FONDAZIONE FRATELLI DI SAN FRANCESCO D'ASSISI ETS"", in attesa dei Controlli amministrativi per la firma del contratto.";marzo 2026
111;uffici e studi privati;47;Via Maffucci Angiolo 14;9;132;364;712;Scopi Sociali;Accoglienza giovani adulti in uscita da Comunità educative;FONDAZIONE FRATELLI DI SAN FRANCESCO D'ASSISI ETS;;In attesa di Registrazione al'Agenzia delle Entrate;Contratto per la concessione in uso gratuito del lotto n. 12 costituito da n. 3 unità immobiliari site in via Maffucci Angiolo 14, via Maffucci Angiolo 18, confiscate alla criminalità e trasferite al patrimonio indisponibile del comune di Milano a Fondazione Fratelli Di San Francesco D’assisi ets. Durata della concessione anni 8 (otto) a far tempo dalla sottoscrizione del presente contratto.;8;17.12.2025 16.12.2033;"Assegnato a seguito di ultimo Bando 2025 a ""FONDAZIONE FRATELLI DI SAN FRANCESCO D'ASSISI ETS"", in attesa dei Controlli amministrativi per la firma del contratto.";marzo 2026
112;box;21;Via Maffucci Angiolo 18;9;132;453;127;Scopi Sociali;Accoglienza giovani adulti in uscita da Comunità educative;FONDAZIONE FRATELLI DI SAN FRANCESCO D'ASSISI ETS;;In attesa di Registrazione al'Agenzia delle Entrate;Contratto per la concessione in uso gratuito del lotto n. 12 costituito da n. 3 unità immobiliari site in via Maffucci Angiolo 14, via Maffucci Angiolo 18, confiscate alla criminalità e trasferite al patrimonio indisponibile del comune di Milano a Fondazione Fratelli Di San Francesco D’assisi ets. Durata della concessione anni 8 (otto) a far tempo dalla sottoscrizione del presente contratto.;8;17.12.2025 16.12.2033;"Assegnato a seguito di ultimo Bando 2025 a ""FONDAZIONE FRATELLI DI SAN FRANCESCO D'ASSISI ETS"", in attesa dei Controlli amministrativi per la firma del contratto.";marzo 2026
113;appart.;3 vani;viale Majno 3;1;353;229;708;Scopi Sociali;Progetto di accoglienza riservata a giovani adulti in uscita da percorsi di istituzionalizzazione - Residenzialità temporanea per giovani adulti in accompagnamento all'autonomia;RIPARI Coop. Sociale – Impresa Sociale (Capofila) via della Signora 3, 20122 Milano A.T.I - Azienda Temporanea di Imprese: Ce.A.S. Centro Ambrosiano di Solidarietà Onlus E Fondazione Casa della Carità;Repertorio n. 106429;Ag. Entrate Mi 1 19.02.2024 Serie 3X 000639;Contratto per la concessione in uso gratuito del lotto n. 1 costituito da n. 6 immobili siti in viale Majno 3, via Oristano 14, via Moretto da Brescia 40, via Ricciarelli 14, (n. 4 appartamenti, di cui 1 con box e magazzino), confiscati alla criminalità e trasferiti al patrimonio indisponibile del Comune di Milano all’ATI composta da Ripari Cooperativa Sociale – Impresa Sociale, CE.A.S. Centro Ambrosiano di Solidarietà Onlus e Fondazione Casa della Carità. Durata della concessione anni 4 (quattro) a far tempo dalla sottoscrizione del presente contratto.;4;13.02.2024 12.02.2028;;marzo 2026
114;locale comm.le;74 mq;Via Mambretti 24;8;61;38;71;Scopi Sociali;;;;;;;;Nuova acquisizione, in attesa di prossimo bando;marzo 2026
115;locale comm.le;24 mq;via Marcantonio dal Re 6;8;181;225;119;Scopi Sociali;Progetto finalizzato alla promozione del benessere e all'inclusione sociale degli anziani, attraverso un approccio multidimensionale. Le azioni si concentreranno sullo sviluppo di programmi intergenerazionali favorendo il coinvolgimento dei giovani. Saranno utilizzate forme di comunicazione attiva per mantenere informata la popolazione del quartiere;Auser Volontariato Prealpi Milano OdV Piazza Prealpi n. 4, 20155 Milano 97249720158;Repertorio n. 106774;Agenzia Entrate Milano 1 Serie 3X n.003317 del 13/06/2025;Contratto per la concessione in uso gratuito dell’unità immobiliare sita in via Marcantonio dal Re 6, confiscata alla criminalità e trasferita al patrimonio indisponibile del Comune dI Milano ad AUSER Volontariato Prealpi Milano ODV. Durata della concessione anni 8 (otto) a far tempo dalla sottoscrizione del presente contratto.;8;09,06,2025 08,06,2033;;marzo 2026
116;appart.;6 vani;via Marcellina Santa 4;9;103;90;59;Scopi Sociali;Concessione finalizzata alla realizzazione del progetto “Centro di sostegno per i familiari dei caduti e agli invalidi vittime del dovere, terrorismo, criminalità organizzata e ai reduci dalle missioni di pace e promozione della cultura della legalità”;Associazione Di Volontariato Vittime del Dovere Ets Odv;Repertorio n. 106383;Ag. Entrate MI 1 12.12.2023 serie 3 X 003241;Contratto per la concessione in uso gratuito del lotto n. 2 costituito da due unita’ immobiliari site in via Santa Marcellina n 4, confiscata alla criminalita’ e trasferita al patrimonio indisponibile del comune di Milano. Durata della concessione anni 3 (tre) a far tempo dalla sottoscrizione del presente contratto;3;01.12.2023 30.11.2026;;marzo 2026
117;box;17 mq;via Marcellina Santa 4;9;103;91;11;Scopi Sociali;Concessione finalizzata alla realizzazione del progetto “Centro di sostegno per i familiari dei caduti e agli invalidi vittime del dovere, terrorismo, criminalità organizzata e ai reduci dalle missioni di pace e promozione della cultura della legalità”;Associazione Di Volontariato Vittime del Dovere Ets Odv;;;;;;;marzo 2026
118;box;17 mq;via Marcellina Santa 4;9;103;91;28;Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";Fondazione Somaschi Onlus (Capofila) P.zza XXV Aprile 2 20121 Milano R.T.I - Raggruppamento Temporaneo di Imprese: Fondazione Ambrosiana per la Vita Onlus Cooperativa Sociale Tuttinsieme Centro Ambrosiano di Aiuto alla Vita Fondazione Archè Onlus;Repertorio n. 105706;Ag. Entrate Mi 1 12/03/2021 Serie 3 1933;Contratto per la concessione in uso gratuito di un unico lotto comprensivo di n. 12 unita’ immobiliari alla Fondazione Somaschi Onlus dei locali di proprieta’ comunale siti in milano. Durata Della Concessione Anni Sei A Far Tempo Dalla Data Della Sottoscrizione Del Presente Contratto.;6;17.07.2020 16.07.2026;;marzo 2026
119;locale comm.le;24;via Marcona 90;4;394;631;19;"Fini di lucro, con vincolo di reimpiego dei proventi per finalità sociali""";;;;;;;;In attesa di prossimo bando Direzione Demanio e Patrimonio;marzo 2026
120;villetta schiera;11 vani;via Mare del 151;5;645;158;1;Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" finalizzata alla realizzazione del progetto dedicato all’accoglienza e ospitalità temporanea per adulti senza fissa dimora e/o in condizioni di grave marginalità";LA STRADA SOCIETA’ COOPERATIVA SOCIALE (Mandataria) Via G.B. Piazzetta n.2, 20139 Milano, C.F. 10969830156 in Associazione Temporanea di Scopo con ASSOCIAZIONE LA ROTONDA APS Via Merano n. 6,Baranzate (MI) C.F. 97556510150;Repertorio n. 106368;Ag. Entrate MI 1 05/12/2023 serie 3 5283;Contratto per la concessione in uso gratuito del lotto n. 4 costituito da n. 4 immobili siti in via Cristina Belgioioso 2 ed in via del Mare 151, confiscati alla criminalita’ e trasferiti al patrimonio indisponibile del Comune di Milano. Durata della concessione anni 4 (quattro) a far tempo dalla sottoscrizione del presente contratto.;4;20.11.2023 19.11.2027;;marzo 2026
121;box;22 mq;via Mare del 151;5;645;158;2;Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" finalizzata alla realizzazione del progetto dedicato all’accoglienza e ospitalità temporanea per adulti senza fissa dimora e/o in condizioni di grave marginalità";LA STRADA SOCIETA’ COOPERATIVA SOCIALE (Mandataria) Via G.B. Piazzetta n.2, 20139 Milano, C.F. 10969830156 in Associazione Temporanea di Scopo con ASSOCIAZIONE LA ROTONDA APS Via Merano n. 6,Baranzate (MI) C.F. 97556510150;Repertorio n. 106368;Ag. Entrate MI 1 05/12/2023 serie 3 5283;Contratto per la concessione in uso gratuito del lotto n. 4 costituito da n. 4 immobili siti in via Cristina Belgioioso 2 ed in via del Mare 151, confiscati alla criminalita’ e trasferiti al patrimonio indisponibile del Comune di Milano. Durata della concessione anni 4 (quattro) a far tempo dalla sottoscrizione del presente contratto.;4;20.11.2023 19.11.2027;;marzo 2026
122;villetta schiera;15,5 vani;via Mare del 185/187;5;646;44-45 ;1;Scopi Sociali;Comunità accoglienza dipendenze;APS IL PROGETTO Via Giacinto Menotti Serrati n. 29, 20143 Milano C.F. 97910750153,;;In Attesa di Registrazione all'Agenzia delle Entrate;Contratto per la concessione in uso gratuito del lotto n. 8 costituito da n. 2 unità immobiliari site in via del Mare 185/187 (villetta più box) , confiscate alla criminalità e trasferite al patrimonio indisponibile del Comune di Milano a Aps Il Progetto. Durata della concessione anni 8 (otto) a far tempo dalla sottoscrizione del presente contratto;8;05.03.2026 04.03.2026;;marzo 2026
123;box;16 mq;via Mare del 185/187;5;646;44;2;Scopi Sociali;Comunità accoglienza dipendenze;APS IL PROGETTO Via Giacinto Menotti Serrati n. 29, 20143 Milano C.F. 97910750153,;;;;;;;marzo 2026
124;appart.;8 vani;via Mare del 267;5;646;84;1;Scopi Sociali;;;;;;;;In corso nuovo Avviso per l'assegnazione;marzo 2026
125;box;18 mq;via Mare del 267;5;646;84;2;Scopi Sociali;;;;;;;;;marzo 2026
126;terreno agricolo costituito da n. 8 particelle;1.793 mq;via Martirano. Via Guascona;7;495; 118, 135,157,131,128,127,109 e 158;-;Scopi Sociali;Progetto:volto a incrementare le opportunità di inserimento lavorativo e di inclusione sociale di detenuti in difficoltà economica, di stranieri con bisogni di inclusione lavorativa, di giovani in difficoltà economica, di disabili fase di integrazione sociale in uscita dal carcere.;Cooperativa Sociale Opera in Fiore sede legale Via Camporgnago 40 20141 Milano C.F./ P. IVA 04578520969 ;Repertorio n. 106737;Agenzia Entrate Milano 1 Serie 3X n. 001854 del 24/04/2025;Contratto per la concessione in uso gratuito del terreno sito in via Martirano, confiscato alla criminalità e trasferito al patrimonio indisponibile del Comune di Milano a Opera In Fiore Cooperativa Sociale. Durata della concessione: anni 8 (otto) a far tempo dalla sottoscrizione del presente contratto;8;23.04.2025 22.04.2033 ;;marzo 2026
127;appart.;93;Via Massara De Capitani 3;9;131;496;38;Scopi Sociali;Accoglienza giovani adulti in uscita da Comunità educative;FONDAZIONE FRATELLI DI SAN FRANCESCO D'ASSISI ETS;;In attesa di Registrazione al'Agenzia delle Entrate;Contratto per la concessione in uso gratuito del lotto n. 11 costituito da n. 4 unità immobiliari site in via Massara Dè Capitani 3, via Mercantini luigi 2, via degli Imbriani 48 e via Catone Marco Porzio 17, confiscate alla criminalità e trasferite al patrimonio indisponibile del comune di Milano a Fondazione Fratelli Di San Francesco D’assisi ets. Durata della concessione anni 8 (otto) a far tempo dalla sottoscrizione del presente contratto.;8;17.12.2025 16.12.2033;"Assegnato a seguito di ultimo Bando 2025 a ""FONDAZIONE FRATELLI DI SAN FRANCESCO D'ASSISI ETS"", in attesa dei Controlli amministrativi per la firma del contratto.";marzo 2026
128;locale comm.le;65 MQ;Via Massara De Capitani 5;9;131;184;22;Scopi Sociali;"GESTIONE DIRETTA ""RESIDENZIALITA' SOCIALE TEMPORANEA""";GESTIONE DIRETTA del Comune di Milano Welfare e Salute;;;;;;;marzo 2026
129;appart.;51 mq.;Via Massara De Capitani 5;9;131;184;24;Scopi Sociali;"GESTIONE DIRETTA ""RESIDENZIALITA' SOCIALE TEMPORANEA""";GESTIONE DIRETTA del Comune di Milano Welfare e Salute;;;;;;;marzo 2026
130;appart.;56 mq.;Via Massara De Capitani 5;9;131;184;26;Scopi Sociali;"GESTIONE DIRETTA ""RESIDENZIALITA' SOCIALE TEMPORANEA""";GESTIONE DIRETTA del Comune di Milano Welfare e Salute;;;;;;;marzo 2026
131;appart.;3, 5 vani;via Meda G. 47;5;579;79;38;Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";Associazione Telefono Donna P.zza Ospedale Maggiore 3 20162 Milano ATS - Associazione Temporanea di Scopo CAPOFILA Telefono donna Onlus SOGG. ATTUATORE Fondazione Somaschi Onlus ;Repertorio n. 105170;Ag. Entrate MI 1 17.06.2021 serie 3 4028;Rinnovo contratto per la concessione in uso gratuito dell’immobile confiscato alla criminalita’ sito in via Meda n. 47 - Milano All’associazione Telefono Donna Onlus. Durata della concessione anni cinque (5) fino al 12/04/2026;5;13.04.2021 12.04.2026;;marzo 2026
132;uffici e studi privati;4 vani;via Melzi D'Eril 44;1;306;216;5;Scopi Sociali;Il Centro per Uomini Autori di Violenza (CUAV);FONDAZIONE SOMASCHI ONLUS;;;;;;"Assegnato a seguito di ultimo Bando 2025 a ""FONDAZIONE SOMASCHI ONLUS "", in attesa dei Controlli amministrativi per la firma del contratto.";marzo 2026
133;appart.;63,25;Via Mercantini L. 2;9;130;93;4;Scopi Sociali;Accoglienza giovani adulti in uscita da Comunità educative;FONDAZIONE FRATELLI DI SAN FRANCESCO D'ASSISI ETS;;In attesa di Registrazione al'Agenzia delle Entrate;Contratto per la concessione in uso gratuito del lotto n. 11 costituito da n. 4 unità immobiliari site in via Massara Dè Capitani 3, via Mercantini luigi 2, via degli Imbriani 48 e via Catone Marco Porzio 17, confiscate alla criminalità e trasferite al patrimonio indisponibile del comune di Milano a Fondazione Fratelli Di San Francesco D’assisi ets. Durata della concessione anni 8 (otto) a far tempo dalla sottoscrizione del presente contratto.;8;17.12.2025 16.12.2033;"Assegnato a seguito di ultimo Bando 2025 a ""FONDAZIONE FRATELLI DI SAN FRANCESCO D'ASSISI ETS"", in attesa dei Controlli amministrativi per la firma del contratto.";marzo 2026
134;locale comm.le;21 mq;Via Millelire, 18;7;376;215;7;Scopi Sociali;;;;;;;;In corso nuovo Avviso per l'assegnazione;marzo 2026
135;locale comm.le;106 mq;via Momigliano 3;5;580;318;67;Scopi Sociali;Progetto: Centro Educativo Diurno per Minori e Famiglie. Sviluppo del servizio di Centro Educativo Diurno rivolto a preadolescenti e adolescenti convenzionato con il Comune di Milano e implementazione del servizio con attività di orientamento e di sostegno alla genitorialità. Realizzazione di percorsi di accompagnamento educativo individualizzati, attività di supporto scolastico, attività ricreativo-culturali, consulenza educativa ai genitori, sportello di orientamento.;Cooperativa Sociale Zero5 Laboratorio di Utopie Metropolitane via Sant'Abbondio 26/C 20142 Milano;;;;;;"Assegnato a seguito di ultimo Bando 2025 a ""Cooperativa Sociale Zero5 Laboratorio di Utopie Metropolitane "", in attesa dei Controlli amministrativi per la firma del contratto.";marzo 2026
136;appart.;9 vani;viale Monte Ceneri 58;8;183;212;701;Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";Società Cooperativa Sociale La Strada Via Giovanni Battista Piazzetta 2 20139 Milano;Repertorio n. 105804;Ag. Entrate MI 1 05.07.21 serie 3 4404;Prosecuzione contratto per la concessione in uso gratuito a LA Strada Società Cooperativa Sociale dei locali di proprietà comunale siti in Vai Monte Ceneri n. 58- Milano. Durata della concessione anni 6 (sei) a far tempo dalla data 27/05/2015.;6;27.05.2021 26.05.2027;;marzo 2026
137;appart.;60 mq;viale Monte Santo 10;9;268;120;702;Scopi Sociali;Accoglienza giovani adulti in uscita da Comunità educative;"SPAZIO APERTO SERVIZI SOC. COOP. SOC. ONLUS""";;;;;;"Assegnato a seguito di ultimo Bando 2025 a ""SPAZIO APERTO SERVIZI SOC. COOP. SOC. ONLUS"", in attesa dei Controlli amministrativi per la firma del contratto.";marzo 2026
138;appart.;3 vani;viale Monza 101;2;197;146;721;Scopi Sociali;"Lotta per la Legalità: progetto “Sportello ascolto e accompagnamento soggetti usurati o a rischio usura nei percorsi di denuncia e di emersione di episodi estorsivi . Assistenza ed accompagnamento all'accesso agli strumenti di tutela e sostegno previsti dalla legge.""";SOS ITALIA LIBERA;Repertorio n. 106142;Ag. Entrate Mi 1 30/11/2022 Serie 3 6477;Contratto per la concessione in uso gratuito del lotto n. 1 costituito da n. 1 immmobile sito in milano in Viale Monza 99/101, confiscato alla criminalita’ e trasferito al patrimonio indisponibile del comune di milano all’associazione Sos Italia Libera. Durata della concessione anni 6 (sei) a far tempo dalla sottoscrizione del presente contratto.;6;15.11.2022 14.11.2028;;marzo 2026
139;appart.;5 vani;viale Monza 130;2;199;46;9;Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";Fondazione Somaschi Onlus (Capofila) P.zza XXV Aprile 2 20121 Milano R.T.I - Raggruppamento Temporaneo di Imprese: Fondazione Ambrosiana per la Vita Onlus Cooperativa Sociale Tuttinsieme Centro Ambrosiano di Aiuto alla Vita Fondazione Archè Onlus;Repertorio n. 105706;Ag. Entrate Mi 1 12/03/2021 Serie 3 1933;Contratto per la concessione in uso gratuito di un unico lotto comprensivo di n. 12 unita’ immobiliari alla Fondazione Somaschi Onlus dei locali di proprieta’ comunale siti in milano. Durata Della Concessione Anni Sei A Far Tempo Dalla Data Della Sottoscrizione Del Presente Contratto.;6;17.07.2020 16.07.2026;;marzo 2026
140;appart.;62;Via Moretto da Brescia 40;3;357;231;24;Scopi Sociali;Progetto di accoglienza riservata a giovani adulti in uscita da percorsi di istituzionalizzazione - Residenzialità temporanea per giovani adulti in accompagnamento all'autonomia;RIPARI Coop. Sociale – Impresa Sociale (Capofila) via della Signora 3, 20122 Milano A.T.I - Azienda Temporanea di Imprese: Ce.A.S. Centro Ambrosiano di Solidarietà Onlus E Fondazione Casa della Carità;Repertorio n. 106429;Ag. Entrate Mi 1 19.02.2024 Serie 3X 000639;Contratto per la concessione in uso gratuito del lotto n. 1 costituito da n. 6 immobili siti in viale Majno 3, via Oristano 14, via Moretto da Brescia 40, via Ricciarelli 14, (n. 4 appartamenti, di cui 1 con box e magazzino), confiscati alla criminalità e trasferiti al patrimonio indisponibile del Comune di Milano all’ATI composta da Ripari Cooperativa Sociale – Impresa Sociale, CE.A.S. Centro Ambrosiano di Solidarietà Onlus e Fondazione Casa della Carità. Durata della concessione anni 4 (quattro) a far tempo dalla sottoscrizione del presente contratto.;4;13.02.2024 12.02.2028;;marzo 2026
141;box;13;Via Moretto da Brescia 40;3;357;231;18;Scopi Sociali;Progetto di accoglienza riservata a giovani adulti in uscita da percorsi di istituzionalizzazione - Residenzialità temporanea per giovani adulti in accompagnamento all'autonomia;RIPARI Coop. Sociale – Impresa Sociale (Capofila) via della Signora 3, 20122 Milano A.T.I - Azienda Temporanea di Imprese: Ce.A.S. Centro Ambrosiano di Solidarietà Onlus E Fondazione Casa della Carità;Repertorio n. 106429;Ag. Entrate Mi 1 19.02.2024 Serie 3X 000639;;4;13.02.2024 12.02.2028;;marzo 2026
142;magazzino;56;Via Moretto da Brescia 40;3;357;231;31;Scopi Sociali;Progetto di accoglienza riservata a giovani adulti in uscita da percorsi di istituzionalizzazione - Residenzialità temporanea per giovani adulti in accompagnamento all'autonomia;RIPARI Coop. Sociale – Impresa Sociale (Capofila) via della Signora 3, 20122 Milano A.T.I - Azienda Temporanea di Imprese: Ce.A.S. Centro Ambrosiano di Solidarietà Onlus E Fondazione Casa della Carità;Repertorio n. 106429;Ag. Entrate Mi 1 19.02.2024 Serie 3X 000639;;4;13.02.2024 12.02.2028;;marzo 2026
143;appart.;1 vani;via Mosca 198;7;454;52;15;Scopi Sociali;"""RESIDENZIALITA' SOCIALE TEMPORANEA"" Attività di assistenza a persone che si trovano in condizioni di fragilità e nell'esigenza di una risposta ai bisogni di residenzialità, integrando l'intervento con un percorso di accompagnamento al reinserimento sociale.";Fondazione Somaschi Onlus (Capofila) P.zza XXV Aprile 2 20121 Milano R.T.I - Raggruppamento Temporaneo di Imprese: Fondazione Ambrosiana per la Vita Onlus Cooperativa Sociale Tuttinsieme Centro Ambrosiano di Aiuto alla Vita Fondazione Archè Onlus;Repertorio n. 105706;Ag. Entrate Mi 1 12/03/2021 Serie 3 1933;Contratto per la concessione in uso gratuito di un unico lotto comprensivo di n. 12 unita’ immobiliari alla Fondazione Somaschi Onlus dei locali di proprieta’ comunale siti in milano. Durata Della Concessione Anni Sei A Far Tempo Dalla Data Della Sottoscrizione Del Presente Contratto.;6;17.07.2020 16.07.2026;;marzo 2026
